Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C5AD Eight Extra Large,c5ad.8xlarge,64 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$0.0215 hourly / GiB,$0.0135 hourly / GiB,$0.0081 hourly / GiB,$0.0445 hourly / GiB,$0.0365 hourly / GiB
C5AD 12xlarge Extra Large,c5ad.12xlarge,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$0.0215 hourly / GiB,$0.0135 hourly / GiB,$0.0082 hourly / GiB,$0.0445 hourly / GiB,$0.0365 hourly / GiB
C5AD 16xlarge Extra Large,c5ad.16xlarge,128 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,$0.0215 hourly / GiB,$0.0135 hourly / GiB,$0.0083 hourly / GiB,$0.0445 hourly / GiB,$0.0365 hourly / GiB
C5AD 24xlarge,c5ad.24xlarge,192 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),20 Gigabit,$0.0215 hourly / GiB,$0.0135 hourly / GiB,$0.0083 hourly / GiB,$0.0445 hourly / GiB,$0.0365 hourly / GiB
C5 High-CPU Large,c5d.large,4 GiB,2 vCPUs,50 GB NVMe SSD,Up to 10 Gigabit,$0.024 hourly / GiB,$0.015 hourly / GiB,$0.0095 hourly / GiB,$0.047 hourly / GiB,$0.038 hourly / GiB
C5 High-CPU Extra Large,c5d.xlarge,8 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.024 hourly / GiB,$0.0151 hourly / GiB,$0.0094 hourly / GiB,$0.047 hourly / GiB,$0.0381 hourly / GiB
C5 High-CPU Double Extra Large,c5d.2xlarge,16 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.024 hourly / GiB,$0.0151 hourly / GiB,$0.0107 hourly / GiB,$0.047 hourly / GiB,$0.0381 hourly / GiB
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32 GiB,16 vCPUs,400 GB NVMe SSD,Up to 10 Gigabit,$0.024 hourly / GiB,$0.0151 hourly / GiB,$0.0109 hourly / GiB,$0.047 hourly / GiB,$0.0381 hourly / GiB
C5 High-CPU 9xlarge,c5d.9xlarge,72 GiB,36 vCPUs,900 GB NVMe SSD,12 Gigabit,$0.024 hourly / GiB,$0.0151 hourly / GiB,$0.0086 hourly / GiB,$0.047 hourly / GiB,$0.0381 hourly / GiB
C5 High-CPU 12xlarge Extra Large,c5d.12xlarge,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$0.024 hourly / GiB,$0.0151 hourly / GiB,$0.0092 hourly / GiB,$0.047 hourly / GiB,$0.0381 hourly / GiB
C5 High-CPU 18xlarge,c5d.18xlarge,144 GiB,72 vCPUs,1800 GB (2×900 GB NVMe SSD),25 Gigabit,$0.024 hourly / GiB,$0.0151 hourly / GiB,$0.0084 hourly / GiB,$0.047 hourly / GiB,$0.0381 hourly / GiB
C5 High-CPU 24xlarge,c5d.24xlarge,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$0.024 hourly / GiB,$0.0151 hourly / GiB,$0.008 hourly / GiB,$0.047 hourly / GiB,$0.0381 hourly / GiB
C5 High-CPU Metal,c5d.metal,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$0.024 hourly / GiB,$0.0151 hourly / GiB,$0.0078 hourly / GiB,$0.047 hourly / GiB,$0.0381 hourly / GiB
C5N Large,c5n.large,5.25 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.0206 hourly / GiB,$0.013 hourly / GiB,$0.0071 hourly / GiB,$0.0381 hourly / GiB,$0.0305 hourly / GiB
C5N Extra Large,c5n.xlarge,10.5 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.0206 hourly / GiB,$0.013 hourly / GiB,$0.0082 hourly / GiB,$0.0381 hourly / GiB,$0.0305 hourly / GiB
