Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R5A Eight Extra Large,r5a.8xlarge,256 GiB,32 vCPUs,EBS only,Up to 10 Gigabit,$0.0565 hourly / vCPU,$0.0356 hourly / vCPU,$0.0209 hourly / vCPU,$0.1025 hourly / vCPU,$0.0816 hourly / vCPU
R5A 12xlarge Extra Large,r5a.12xlarge,384 GiB,48 vCPUs,EBS only,10 Gigabit,$0.0565 hourly / vCPU,$0.0356 hourly / vCPU,$0.0213 hourly / vCPU,$0.1025 hourly / vCPU,$0.0816 hourly / vCPU
R5A 16xlarge Extra Large,r5a.16xlarge,512 GiB,64 vCPUs,EBS only,12 Gigabit,$0.0565 hourly / vCPU,$0.0356 hourly / vCPU,$0.0205 hourly / vCPU,$0.1025 hourly / vCPU,$0.0816 hourly / vCPU
R5A 24xlarge,r5a.24xlarge,768 GiB,96 vCPUs,EBS only,20 Gigabit,$0.0565 hourly / vCPU,$0.0356 hourly / vCPU,$0.0191 hourly / vCPU,$0.1025 hourly / vCPU,$0.0816 hourly / vCPU
R5AD Large,r5ad.large,16 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,$0.0655 hourly / vCPU,$0.0415 hourly / vCPU,$0.0234 hourly / vCPU,$0.1115 hourly / vCPU,$0.0875 hourly / vCPU
R5AD Extra Large,r5ad.xlarge,32 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0237 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
R5AD Double Extra Large,r5ad.2xlarge,64 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0342 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
R5AD Quadruple Extra Large,r5ad.4xlarge,128 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0303 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
R5AD Eight Extra Large,r5ad.8xlarge,256 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),Up to 10 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0285 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
R5AD 12xlarge Extra Large,r5ad.12xlarge,384 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),10 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0287 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
R5AD 16xlarge Extra Large,r5ad.16xlarge,512 GiB,64 vCPUs,2400 GB (4×600 GB NVMe SSD),12 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0241 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
R5AD 24xlarge,r5ad.24xlarge,768 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),20 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0229 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
R5B Large,r5b.large,16 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0278 hourly / vCPU,$0.1205 hourly / vCPU,$0.0469 hourly / vCPU
R5B Extra Large,r5b.xlarge,32 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0347 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5B Double Extra Large,r5b.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0411 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5B Quadruple Extra Large,r5b.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.034 hourly / vCPU,$0.1205 hourly / vCPU,$0.0469 hourly / vCPU
